dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_underdetected,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
boolq,gpt-4o,boolean,0.032161370482239396,0.11814105039164988,0.05385513416852124,0.14797502343807234,0.037399159931891836,0.12171669347487418,0.895625,0.8675,,5,9,10,176,200,0.022473571842159527,0.05608935229611852,0.016551750273385547,0.04892172202381621,0.03420315190628447,0.07525605037284687
boolq,llama3.1:8b,boolean,0.06320302281970952,0.15847816743710275,0.1554201698978763,0.21188955070366797,0.10111387096434238,0.1835557475965697,0.859375,0.801875,,7,21,30,142,200,0.07575219504155954,0.1287104134285219,0.04218774864768307,0.08552756826102209,0.1267411921592824,0.18534756386314039
boolq,llama3.2:1b,boolean,0.19642201989468858,0.22419513239012953,0.23661152062061386,0.2282277983711615,0.06180461255600404,0.14418340269521296,0.5525,0.51875,,20,69,15,96,200,0.04343866343824939,0.0822556366083048,0.16485847247450103,0.2288515087497992,0.20558664640490237,0.26718333653868115
boolq,llama3.2:3b,boolean,0.07751132840293527,0.17069763437469754,0.12971418760336237,0.20199035882857921,0.07290752189361979,0.1559251682357945,0.7825,0.753125,,9,26,18,147,200,0.05223953606423194,0.09653105305923174,0.054740593823559704,0.10252305335554843,0.10302502760997655,0.15867037358970854
boolq,mistral-nemo:latest,boolean,0.02413213990992757,0.10163000597233757,0.04419007065906014,0.13467712237646487,0.028365119887963305,0.10847726874329681,0.848125,0.83375,,4,7,8,181,200,0.015132902846515266,0.043451984735556504,0.010472252648291835,0.03925166447462937,0.02667033356098375,0.06297092772487799
boolq,mistral:instruct,boolean,0.07314509207057696,0.17216780848164875,0.10865477363362615,0.19187422640997825,0.048031136222536984,0.13241577056325357,0.8425,0.80625,,5,26,10,159,200,0.030571905967241124,0.0678930315078574,0.05054596039447498,0.09889344371587902,0.08317028527954297,0.13769324343269615
boolq,qwen2.5:3b,boolean,0.060015021430156974,0.15421652272745792,0.11402449983627994,0.19606278718738196,0.07467935138720078,0.16321751215180771,0.738125,0.72625,,8,19,19,154,200,0.05340068178538989,0.0985721407856596,0.040426557046490647,0.0830448894541818,0.0865231029703607,0.14203758876392955
boolq,qwen2.5:7b,boolean,0.030962266928849767,0.11441664595233315,0.07298690730224017,0.16714544372865953,0.057377705272404045,0.14990995193161002,0.839375,0.81375,,6,8,16,170,200,0.03765371595529393,0.0787189731661857,0.01590335577242335,0.047771475654771356,0.05255291435903618,0.09676847335407174
squad,gemma2:2b,open_ended,0.11492984952554393,0.12723338760269703,0.07731872069869222,0.16541387237893507,0.1554515650158066,0.1512222976621636,0.425609004467071,0.856875,,58,7,17,118,200,0.1337937226166746,0.17550095704463703,0.0979466843000541,0.13356904073899561,0.055425689432284785,0.09929158141452667
squad,gpt-4o,open_ended,0.0872520302629553,0.10011417703872857,0.0358828815202294,0.12326654868180906,0.10042227620711387,0.11766522508785732,0.36707845866089417,0.9425,,39,5,8,148,200,0.08419191955810283,0.11626535551160488,0.07317215410665219,0.10198423911655746,0.020055955283322276,0.05350373492962325
squad,llama3.1:8b,open_ended,0.15033729878052732,0.1252928032990954,0.07497174533497274,0.1657872566688917,0.17361017081049063,0.1376926692783961,0.6214679430441767,0.875,,93,12,12,83,200,0.1534276699285707,0.19282174963165183,0.13331585324269232,0.16932568234233913,0.051226524899227334,0.09874952096349297
squad,llama3.2:1b,open_ended,0.1664122083101431,0.13511156259689544,0.17279860872269762,0.21409947160656687,0.20955329834555234,0.14374206684588625,0.3348068155467987,0.76625,,64,26,32,78,200,0.19025510768361262,0.2277422008165016,0.14674591368362172,0.1859779547602215,0.1451863829571678,0.20220861910472182
squad,llama3.2:3b,open_ended,0.17759504554919134,0.13392894701510602,0.08530836820304151,0.17132899766747894,0.19055512030763083,0.1386975632371452,0.4549418519796648,0.848125,,97,14,12,77,200,0.17016022246769535,0.21090068445744217,0.15886873547027364,0.19809830096536676,0.06347677253541947,0.10889466558199118
squad,mistral-nemo:latest,open_ended,0.11236299494093911,0.12223011568349053,0.06812363741108916,0.16401194963783122,0.14316256358919358,0.14679670104937084,0.5372060060317083,0.88625,,66,7,19,108,200,0.12236902933567649,0.16316473414553123,0.09448212331360706,0.1285483691167935,0.04640672754341492,0.09117616534229588
squad,mistral:instruct,open_ended,0.05609119093657904,0.06454604499809036,0.08619362314917138,0.1756414212900321,0.11796748458931638,0.14624249257617275,0.2858897100627346,0.87625,,17,2,26,155,200,0.0985623962192622,0.1372538940449526,0.04782321969853973,0.06529374432967297,0.06286605946055125,0.10981470312866574
squad,qwen2.5:3b,open_ended,0.13702660198815322,0.1284784273271702,0.07046581941896102,0.16131975580093322,0.16308867343531352,0.14468606236826773,0.38616849936804976,0.878125,,73,7,16,104,200,0.14429805799930792,0.18257788531628386,0.11994186062935319,0.15416722698371585,0.04733586689372162,0.09247117759728819
squad,qwen2.5:7b,open_ended,0.1994377210281501,0.13947268286187325,0.07499356677066918,0.1683621662910174,0.22631855434304193,0.14422628115517774,0.46657892909040327,0.896875,,112,8,18,62,200,0.20471768330252882,0.24553060204126675,0.18110505657114492,0.21873729376296724,0.051740683626659977,0.0994055245666176
